id,nome,nivel,sexo,tipos,movimentos,habilidade,natureza,cur_hp,stats,imagem,legendario,mitico,geracao,danos
112,rhydon,1,female,"['ground', 'rock']","['rock-tomb', 'bonemerang']",lightning-rod,serious,105,"[105, 130, 120, 45, 45, 40]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'steel', 'grass', 'fighting', 'ice', 'ground'], 'recebe_dano_metade': ['rock', 'poison', 'fire', 'flying', 'normal'], 'recebe_dano_zero': ['electric'], 'causa_dano_duplo': ['steel', 'rock', 'poison', 'ice', 'fire', 'bug', 'flying', 'electric'], 'causa_dano_metade': ['steel', 'grass', 'fighting', 'ground', 'bug'], 'causa_dano_zero': ['flying']}"
113,chansey,1,female,['normal'],"['mind-reader', 'hyper-beam']",natural-cure,docile,250,"[250, 5, 5, 105, 35, 50]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
114,tangela,1,male,['grass'],"['grass-knot', 'leech-seed']",chlorophyll,hardy,65,"[65, 55, 115, 40, 100, 60]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,False,False,generation-i,"{'recebe_dano_duplo': ['poison', 'ice', 'fire', 'bug', 'flying'], 'recebe_dano_metade': ['ground', 'water', 'grass', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['ground', 'water', 'rock'], 'causa_dano_metade': ['steel', 'grass', 'poison', 'dragon', 'fire', 'bug', 'flying'], 'causa_dano_zero': []}"
115,kangaskhan,1,female,['normal'],"['take-down', 'body-slam']",inner-focus,serious,105,"[105, 95, 80, 80, 40, 90]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
116,horsea,1,genderless,['water'],"['brine', 'water-spout']",sniper,bashful,30,"[30, 40, 70, 25, 70, 60]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
117,seadra,1,genderless,['water'],"['aqua-tail', 'rain-dance']",damp,hardy,55,"[55, 65, 95, 45, 95, 85]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
118,goldeen,1,male,['water'],"['aqua-jet', 'waterfall']",lightning-rod,docile,45,"[45, 67, 60, 50, 35, 63]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
119,seaking,1,male,['water'],"['hydro-cannon', 'surf']",water-veil,docile,80,"[80, 92, 65, 80, 65, 68]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
120,staryu,1,male,['water'],"['water-gun', 'aqua-ring']",natural-cure,serious,30,"[30, 45, 55, 55, 70, 85]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
121,starmie,1,genderless,"['water', 'psychic']","['water-spout', 'heart-swap']",natural-cure,hardy,60,"[60, 75, 85, 85, 100, 115]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png,False,False,generation-i,"{'recebe_dano_duplo': ['ghost', 'dark', 'grass', 'bug', 'electric'], 'recebe_dano_metade': ['water', 'steel', 'psychic', 'fighting', 'ice', 'fire'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['rock', 'poison', 'fighting', 'fire', 'ground'], 'causa_dano_metade': ['water', 'steel', 'psychic', 'grass', 'dragon'], 'causa_dano_zero': ['dark']}"
122,mr-mime,1,genderless,"['psychic', 'fairy']","['psychic', 'psycho-boost']",technician,hardy,40,"[40, 45, 65, 120, 100, 90]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png,False,False,generation-i,"{'recebe_dano_duplo': ['ghost', 'steel', 'dark', 'poison', 'bug'], 'recebe_dano_metade': ['fighting', 'bug', 'dark', 'psychic'], 'recebe_dano_zero': ['dragon'], 'causa_dano_duplo': ['fighting', 'poison', 'dragon', 'dark'], 'causa_dano_metade': ['fire', 'steel', 'psychic', 'poison'], 'causa_dano_zero': ['dark']}"
123,scyther,1,male,"['bug', 'flying']","['aerial-ace', 'fury-cutter']",technician,hardy,70,"[70, 110, 80, 80, 55, 105]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png,False,False,generation-i,"{'recebe_dano_duplo': ['rock', 'ice', 'fire', 'flying', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass', 'ground'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['dark', 'psychic', 'grass', 'fighting', 'bug'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'rock', 'fighting', 'fire', 'flying', 'electric'], 'causa_dano_zero': []}"
124,jynx,1,male,"['ice', 'psychic']","['heart-swap', 'ice-fang']",dry-skin,quirky,65,"[65, 50, 35, 95, 115, 95]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png,False,False,generation-i,"{'recebe_dano_duplo': ['ghost', 'steel', 'dark', 'rock', 'fighting', 'fire', 'bug'], 'recebe_dano_metade': ['fighting', 'psychic', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'poison', 'dragon', 'fighting', 'ground', 'flying'], 'causa_dano_metade': ['water', 'steel', 'psychic', 'ice', 'fire'], 'causa_dano_zero': ['dark']}"
125,electabuzz,1,female,['electric'],"['thunder-shock', 'volt-tackle']",static,serious,65,"[65, 83, 57, 85, 95, 105]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground'], 'recebe_dano_metade': ['steel', 'flying', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'flying'], 'causa_dano_metade': ['grass', 'dragon', 'electric'], 'causa_dano_zero': ['ground']}"
126,magmar,1,genderless,['fire'],"['sacred-fire', 'ember']",flame-body,docile,65,"[65, 95, 57, 85, 100, 93]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
127,pinsir,1,female,['bug'],"['pin-missile', 'x-scissor']",hyper-cutter,quirky,65,"[65, 125, 100, 70, 55, 85]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png,False,False,generation-i,"{'recebe_dano_duplo': ['fire', 'rock', 'flying'], 'recebe_dano_metade': ['fighting', 'grass', 'ground'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'dark', 'psychic'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'fighting', 'fire', 'flying'], 'causa_dano_zero': []}"
128,tauros,1,male,['normal'],"['wring-out', 'weather-ball']",intimidate,quirky,75,"[75, 100, 95, 70, 40, 110]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
129,magikarp,1,male,['water'],"['withdraw', 'surf']",swift-swim,docile,20,"[20, 10, 55, 20, 15, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
130,gyarados,1,genderless,"['water', 'flying']","['water-pulse', 'gust']",intimidate,serious,95,"[95, 125, 79, 100, 60, 81]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['water', 'steel', 'grass', 'fighting', 'ice', 'fire', 'bug'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['grass', 'rock', 'fighting', 'fire', 'ground', 'bug'], 'causa_dano_metade': ['water', 'steel', 'grass', 'rock', 'dragon', 'electric'], 'causa_dano_zero': []}"
131,lapras,1,genderless,"['water', 'ice']","['withdraw', 'ice-fang']",hydration,quirky,130,"[130, 85, 80, 95, 85, 60]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png,False,False,generation-i,"{'recebe_dano_duplo': ['steel', 'grass', 'rock', 'fighting', 'fire', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'rock', 'dragon', 'fire', 'ground', 'flying'], 'causa_dano_metade': ['water', 'steel', 'grass', 'dragon', 'ice', 'fire'], 'causa_dano_zero': []}"
132,ditto,1,female,['normal'],"['hyper-fang', 'stockpile']",limber,docile,48,"[48, 48, 48, 48, 48, 48]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
133,eevee,1,male,['normal'],"['strength', 'soft-boiled']",anticipation,quirky,55,"[55, 55, 50, 65, 45, 55]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
134,vaporeon,1,male,['water'],"['aqua-ring', 'bubble']",hydration,serious,130,"[130, 65, 60, 95, 110, 65]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
135,jolteon,1,female,['electric'],"['discharge', 'charge']",quick-feet,quirky,65,"[65, 65, 60, 95, 110, 130]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground'], 'recebe_dano_metade': ['steel', 'flying', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'flying'], 'causa_dano_metade': ['grass', 'dragon', 'electric'], 'causa_dano_zero': ['ground']}"
136,flareon,1,genderless,['fire'],"['blaze-kick', 'blaze-kick']",guts,serious,65,"[65, 130, 60, 110, 95, 65]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
137,porygon,1,male,['normal'],"['sonic-boom', 'uproar']",trace,serious,65,"[65, 60, 70, 75, 85, 40]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
138,omanyte,1,female,"['rock', 'water']","['surf', 'hydro-pump']",swift-swim,quirky,35,"[35, 40, 100, 55, 90, 35]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'steel', 'grass', 'fighting', 'ground', 'electric'], 'recebe_dano_metade': ['water', 'steel', 'poison', 'ice', 'fire', 'flying', 'normal'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['rock', 'ice', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_metade': ['water', 'steel', 'grass', 'dragon', 'fighting', 'ground'], 'causa_dano_zero': []}"
139,omastar,1,female,"['rock', 'water']","['clamp', 'sandstorm']",shell-armor,hardy,70,"[70, 60, 125, 70, 115, 55]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'steel', 'grass', 'fighting', 'ground', 'electric'], 'recebe_dano_metade': ['water', 'steel', 'poison', 'ice', 'fire', 'flying', 'normal'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['rock', 'ice', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_metade': ['water', 'steel', 'grass', 'dragon', 'fighting', 'ground'], 'causa_dano_zero': []}"
140,kabuto,1,male,"['rock', 'water']","['dive', 'aqua-tail']",battle-armor,bashful,30,"[30, 80, 90, 45, 55, 55]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'steel', 'grass', 'fighting', 'ground', 'electric'], 'recebe_dano_metade': ['water', 'steel', 'poison', 'ice', 'fire', 'flying', 'normal'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['rock', 'ice', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_metade': ['water', 'steel', 'grass', 'dragon', 'fighting', 'ground'], 'causa_dano_zero': []}"
141,kabutops,1,genderless,"['rock', 'water']","['stone-edge', 'sandstorm']",battle-armor,quirky,60,"[60, 115, 105, 70, 65, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'steel', 'grass', 'fighting', 'ground', 'electric'], 'recebe_dano_metade': ['water', 'steel', 'poison', 'ice', 'fire', 'flying', 'normal'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['rock', 'ice', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_metade': ['water', 'steel', 'grass', 'dragon', 'fighting', 'ground'], 'causa_dano_zero': []}"
142,aerodactyl,1,female,"['rock', 'flying']","['rock-polish', 'aeroblast']",rock-head,serious,80,"[80, 105, 65, 75, 60, 130]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'steel', 'grass', 'rock', 'fighting', 'ice', 'ground', 'electric'], 'recebe_dano_metade': ['grass', 'poison', 'fighting', 'fire', 'bug', 'flying', 'normal'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['grass', 'fighting', 'ice', 'fire', 'bug', 'flying'], 'causa_dano_metade': ['steel', 'rock', 'fighting', 'ground', 'electric'], 'causa_dano_zero': []}"
143,snorlax,1,genderless,['normal'],"['false-swipe', 'sonic-boom']",gluttony,serious,160,"[160, 110, 65, 110, 65, 30]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
147,dratini,1,genderless,['dragon'],"['dragon-claw', 'dragon-rage']",shed-skin,serious,41,"[41, 64, 45, 50, 50, 50]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png,False,False,generation-i,"{'recebe_dano_duplo': ['fairy', 'dragon', 'ice'], 'recebe_dano_metade': ['fire', 'grass', 'water', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['dragon'], 'causa_dano_metade': ['steel'], 'causa_dano_zero': ['fairy']}"
148,dragonair,1,male,['dragon'],"['dragon-pulse', 'draco-meteor']",shed-skin,docile,61,"[61, 84, 65, 70, 70, 70]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png,False,False,generation-i,"{'recebe_dano_duplo': ['fairy', 'dragon', 'ice'], 'recebe_dano_metade': ['fire', 'grass', 'water', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['dragon'], 'causa_dano_metade': ['steel'], 'causa_dano_zero': ['fairy']}"
149,dragonite,1,female,"['dragon', 'flying']","['drill-peck', 'roost']",inner-focus,bashful,91,"[91, 134, 95, 100, 100, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png,False,False,generation-i,"{'recebe_dano_duplo': ['fairy', 'rock', 'dragon', 'ice', 'electric'], 'recebe_dano_metade': ['water', 'grass', 'fighting', 'fire', 'bug', 'electric'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass', 'dragon'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['fairy']}"
151,mew,1,genderless,['psychic'],"['psywave', 'luster-purge']",synchronize,serious,100,"[100, 100, 100, 100, 100, 100]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/151.png,False,True,generation-i,"{'recebe_dano_duplo': ['ghost', 'bug', 'dark'], 'recebe_dano_metade': ['fighting', 'psychic'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fighting', 'poison'], 'causa_dano_metade': ['steel', 'psychic'], 'causa_dano_zero': ['dark']}"
152,chikorita,1,male,['grass'],"['petal-dance', 'absorb']",overgrow,hardy,45,"[45, 49, 65, 65, 49, 45]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/152.png,False,False,generation-ii,"{'recebe_dano_duplo': ['poison', 'ice', 'fire', 'bug', 'flying'], 'recebe_dano_metade': ['ground', 'water', 'grass', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['ground', 'water', 'rock'], 'causa_dano_metade': ['steel', 'grass', 'poison', 'dragon', 'fire', 'bug', 'flying'], 'causa_dano_zero': []}"
153,bayleef,1,male,['grass'],"['synthesis', 'needle-arm']",leaf-guard,hardy,60,"[60, 62, 80, 80, 63, 60]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/153.png,False,False,generation-ii,"{'recebe_dano_duplo': ['poison', 'ice', 'fire', 'bug', 'flying'], 'recebe_dano_metade': ['ground', 'water', 'grass', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['ground', 'water', 'rock'], 'causa_dano_metade': ['steel', 'grass', 'poison', 'dragon', 'fire', 'bug', 'flying'], 'causa_dano_zero': []}"
154,meganium,1,genderless,['grass'],"['solar-beam', 'giga-drain']",leaf-guard,quirky,80,"[80, 82, 100, 100, 83, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/154.png,False,False,generation-ii,"{'recebe_dano_duplo': ['poison', 'ice', 'fire', 'bug', 'flying'], 'recebe_dano_metade': ['ground', 'water', 'grass', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['ground', 'water', 'rock'], 'causa_dano_metade': ['steel', 'grass', 'poison', 'dragon', 'fire', 'bug', 'flying'], 'causa_dano_zero': []}"
155,cyndaquil,1,genderless,['fire'],"['will-o-wisp', 'sunny-day']",blaze,quirky,39,"[39, 52, 43, 50, 60, 65]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/155.png,False,False,generation-ii,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
156,quilava,1,male,['fire'],"['flare-blitz', 'fire-spin']",blaze,serious,58,"[58, 64, 58, 65, 80, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/156.png,False,False,generation-ii,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
157,typhlosion,1,female,['fire'],"['eruption', 'magma-storm']",flash-fire,docile,78,"[78, 84, 78, 85, 109, 100]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png,False,False,generation-ii,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
158,totodile,1,male,['water'],"['clamp', 'dive']",torrent,bashful,50,"[50, 65, 64, 48, 44, 43]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/158.png,False,False,generation-ii,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
159,croconaw,1,genderless,['water'],"['aqua-ring', 'water-pulse']",torrent,quirky,65,"[65, 80, 80, 63, 59, 58]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/159.png,False,False,generation-ii,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
160,feraligatr,1,female,['water'],"['whirlpool', 'dive']",torrent,hardy,85,"[85, 105, 100, 83, 79, 78]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/160.png,False,False,generation-ii,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
161,sentret,1,female,['normal'],"['crush-grip', 'attract']",run-away,hardy,35,"[35, 46, 34, 45, 35, 20]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/161.png,False,False,generation-ii,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
162,furret,1,female,['normal'],"['lucky-chant', 'mimic']",keen-eye,docile,85,"[85, 76, 64, 55, 45, 90]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/162.png,False,False,generation-ii,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
163,hoothoot,1,female,"['normal', 'flying']","['pain-split', 'scary-face']",insomnia,hardy,60,"[60, 30, 30, 56, 36, 50]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/163.png,False,False,generation-ii,"{'recebe_dano_duplo': ['fighting', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass'], 'recebe_dano_zero': ['ghost', 'ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['ghost']}"
164,noctowl,1,male,"['normal', 'flying']","['barrage', 'snore']",keen-eye,hardy,100,"[100, 50, 50, 96, 86, 70]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png,False,False,generation-ii,"{'recebe_dano_duplo': ['fighting', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass'], 'recebe_dano_zero': ['ghost', 'ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['ghost']}"
